interface_mode,carrier_refractive_index,carrier_thickness_um,interface_refractive_index,interface_thickness_um,transmitted_power_w_m2,weighted_transmittance_percent,additional_power_vs_baseline_w_m2,absolute_gain_vs_baseline_percentage_points,relative_gain_vs_baseline_percent,gain_retention_vs_active_only_percent,maximum_energy_residual
optical_contact,1.35,25.0,,0.0,821.4862619015288,98.25432633588103,-5.958963640536467,-0.712725197382671,-0.7201641216350856,-100.38070573500873,9.992007221626409e-16
optical_contact,1.35,50.0,,0.0,821.4883704166324,98.25457852601576,-5.956855125432867,-0.7124730072479344,-0.7199092993171226,-100.3451871034278,1.3322676295501878e-15
optical_contact,1.35,100.0,,0.0,821.4734561370599,98.25279469522012,-5.971769405005375,-0.7142568380435824,-0.7217117484838016,-100.59642305641019,1.1102230246251565e-15
optical_contact,1.35,200.0,,0.0,821.4690898621675,98.25227246445614,-5.976135679897766,-0.714779068807559,-0.7222394299251358,-100.66997439546347,1.1102230246251565e-15
optical_contact,1.4,25.0,,0.0,816.5231521626114,97.66071080444219,-10.922073379453877,-1.306340728821509,-1.3199753944194614,-183.98592440822975,1.1102230246251565e-15
optical_contact,1.4,50.0,,0.0,816.5173028842477,97.66001119821402,-10.92792265781759,-1.307040335049673,-1.3206823026453056,-184.0844574293403,1.1102230246251565e-15
optical_contact,1.4,100.0,,0.0,816.4876596012009,97.65646569667464,-10.957565940864356,-1.3105858365890442,-1.3242648096357044,-184.58380829838993,1.1102230246251565e-15
optical_contact,1.4,200.0,,0.0,816.539304524031,97.66264271671344,-10.905921018034292,-1.3044088165502783,-1.3180233182069236,-183.71383255864112,1.1102230246251565e-15
optical_contact,1.5,25.0,,0.0,804.3776808759923,96.20804488092904,-23.06754466607299,-2.759006652334656,-2.7878032229820744,-388.5803896171755,1.1102230246251565e-15
optical_contact,1.5,50.0,,0.0,804.3757648220329,96.2078157102177,-23.06946072003234,-2.7592358230459997,-2.788034785616096,-388.6126661773742,1.1102230246251565e-15
optical_contact,1.5,100.0,,0.0,804.2916750078464,96.19775810070213,-23.15355053421888,-2.769293432561566,-2.7981973693848827,-390.0291868011535,1.1102230246251565e-15
optical_contact,1.5,200.0,,0.0,804.4746206914707,96.21963942207562,-22.970604850594555,-2.747412111188087,-2.7760876661710565,-386.9474064881375,1.1102230246251565e-15
optical_contact,1.6,25.0,,0.0,789.9504943905337,94.4824731278852,-37.494731151531596,-4.4845784053785085,-4.53138528015175,-631.611099072979,1.1102230246251565e-15
optical_contact,1.6,50.0,,0.0,789.9473016855136,94.48209126260576,-37.497923856551665,-4.484960270657923,-4.5317711310723325,-631.6648812408946,1.1102230246251565e-15
optical_contact,1.6,100.0,,0.0,789.7931795812556,94.46365740165199,-37.65204596080969,-4.503394131611711,-4.550397391699682,-634.2611188634138,1.1102230246251565e-15
optical_contact,1.6,200.0,,0.0,790.002025891788,94.4886365820726,-37.44319965027728,-4.478414951191095,-4.525157496165136,-630.7430339570409,1.1102230246251565e-15
air_gap_10um,1.35,25.0,1.0,10.0,803.8283486728194,96.14234169383931,-23.616876869245857,-2.8247098394243815,-2.854192173720535,-397.83407155984554,1.2212453270876722e-15
air_gap_10um,1.35,50.0,1.0,10.0,803.8365401661324,96.1433214420037,-23.60868537593285,-2.82373009126001,-2.853202199634016,-397.69608315625976,1.4432899320127035e-15
air_gap_10um,1.35,100.0,1.0,10.0,803.8165527295187,96.14093083340713,-23.628672812546597,-2.8261206998565784,-2.855617759721471,-398.0327781109786,1.4432899320127035e-15
air_gap_10um,1.35,200.0,1.0,10.0,803.8256573401314,96.14201979547964,-23.619568201933816,-2.8250317377840557,-2.854517431828852,-397.87940794564713,1.3322676295501878e-15
air_gap_10um,1.4,25.0,1.0,10.0,797.000851206868,95.32573501982849,-30.444374335197267,-3.6413165134352035,-3.679322013762656,-512.8455157267521,1.3322676295501878e-15
air_gap_10um,1.4,50.0,1.0,10.0,796.9680816666724,95.32181560054474,-30.477143875392812,-3.6452359327189745,-3.6832823411878435,-513.3975294274338,1.4432899320127035e-15
air_gap_10um,1.4,100.0,1.0,10.0,796.9522393237603,95.31992076821142,-30.492986218304964,-3.6471307650522777,-3.685196950448145,-513.6643989131276,1.4432899320127035e-15
