carrier_refractive_index,trial_number,retrofit_refractive_index,retrofit_thickness_nm,optimization_relative_gain_percent,trial_state
1.2,0,1.100474,118.791,0.3469919641442498,COMPLETE
1.2,1,1.0954451150103321,136.93063937629154,0.3584544233145692,COMPLETE
1.2,2,1.2880035409270574,231.51524612531296,-1.1392820075824872,COMPLETE
1.2,3,1.0629823889912113,224.62006785000762,0.10601105599319371,COMPLETE
1.2,4,1.2714839261760544,242.85202543757785,-0.9421057542205236,COMPLETE
1.2,5,1.1983785086963978,88.48547627147866,-0.2909556721850448,COMPLETE
1.2,6,1.0206278273475768,113.64017345473749,-0.06291387328654086,COMPLETE
1.2,7,1.229980788836999,157.51589862264495,-0.6644555419370257,COMPLETE
1.2,8,1.121046155533621,178.67255766584574,0.21615093962794596,COMPLETE
1.2,9,1.059186037818502,160.4792815809182,0.2435737532343829,COMPLETE
1.2,10,1.224217330175396,192.79933810634813,-0.5383088021942428,COMPLETE
1.2,11,1.2551733886819714,237.52885782196893,-0.7830381667049302,COMPLETE
1.2,12,1.1393640150644624,240.82476653222471,0.02685239438486864,COMPLETE
1.2,13,1.271958769087361,155.31317640290814,-1.2602831630391997,COMPLETE
1.2,14,1.2045729624590018,72.58408845854774,-0.3490374585955802,COMPLETE
1.2,15,1.2194371888760072,76.48635065212446,-0.5029425912184582,COMPLETE
1.2,16,1.2120875861734992,133.2997410712988,-0.4592565717456254,COMPLETE
1.2,17,1.1931558110302716,241.1915161706843,-0.25882421053575744,COMPLETE
1.2,18,1.1162263850277274,74.11305664461672,0.11229083773500736,COMPLETE
1.2,19,1.1352265204671816,88.73210606619827,0.15837191214851387,COMPLETE
1.2,20,1.0492667915111016,165.5640112239592,0.1815766891741344,COMPLETE
1.2,21,1.1407442788587452,130.1278641227401,0.22709653191712587,COMPLETE
1.2,22,1.2234269909329667,246.9510553299483,-0.4876208232637458,COMPLETE
1.2,23,1.2508351084554845,137.47495838424715,-1.0126391989695227,COMPLETE
1.2,24,1.0853772017209882,114.07091086402767,0.32762541529642863,COMPLETE
1.2,25,1.0911476898784687,108.77175304284813,0.3185805535879771,COMPLETE
1.2,26,1.1725967124549916,52.36395649972695,-0.18453531684541336,COMPLETE
1.2,27,1.0872874446950869,112.4528180469459,0.32592843685894657,COMPLETE
1.2,28,1.0911823227831552,142.05124434756596,0.35339258379261107,COMPLETE
1.2,29,1.103281651538881,143.46672924535244,0.3468860214024261,COMPLETE
1.2,30,1.16055401552925,204.534213171636,-0.029423088536928432,COMPLETE
1.2,31,1.0990208495203277,145.92290126552243,0.34725431329984957,COMPLETE
1.2,32,1.069837726136499,125.51177255768883,0.30876467125597884,COMPLETE
1.2,33,1.0354383936618743,146.0877525825735,0.1024505286010946,COMPLETE
1.2,34,1.1076351834951979,173.41235547844823,0.2669375950565378,COMPLETE
1.2,35,1.0645255816493795,99.1972852608273,0.21050778230431444,COMPLETE
1.2,36,1.081559023130961,146.32151492281682,0.3379405441437555,COMPLETE
1.2,37,1.1260011552535134,123.0634903334134,0.29704347122581076,COMPLETE
1.2,38,1.1527648837605218,183.25461568196775,0.054792727217045645,COMPLETE
1.2,39,1.0436411878502307,218.8719082665884,0.04108930086959006,COMPLETE
1.2,40,1.1049818637497948,120.58954291556613,0.3464262191966716,COMPLETE
1.2,41,1.100954314809371,141.29178940365784,0.3520707084779806,COMPLETE
1.2,42,1.0752251054796687,153.56196491259652,0.3132290290372097,COMPLETE
1.2,43,1.101208119975193,167.8184356230337,0.29347729578892423,COMPLETE
1.2,44,1.1203178325697534,99.3191411150142,0.25636058947289264,COMPLETE
1.2,45,1.0551403430065616,137.82219002899348,0.24625725235167817,COMPLETE
1.2,46,1.0242208340066905,157.4670291374336,-0.010426865491752757,COMPLETE
1.2,47,1.0952210012921055,186.5935984861979,0.24120161048246658,COMPLETE
1.2,48,1.127564973230055,150.17481860335985,0.26775640188949623,COMPLETE
1.2,49,1.1107228569291494,102.95140311554826,0.290745640662049,COMPLETE
1.2,50,1.0759804186590889,131.07789837107242,0.3330501463560731,COMPLETE
1.2,51,1.0976401736087484,141.64972188102624,0.35383057433175935,COMPLETE
1.2,52,1.095248410864349,139.88277457538788,0.35626343170542807,COMPLETE
1.2,53,1.0907838918372266,163.1611328727223,0.3116291654744252,COMPLETE
1.2,54,1.0659545270989537,141.06074479696102,0.29815832350272853,COMPLETE
1.2,55,1.113019676715691,172.96452335768342,0.25647904437913205,COMPLETE
1.2,56,1.1475646165416897,129.6458711860651,0.1852885664425763,COMPLETE
1.2,57,1.096189188583108,150.82626168237533,0.34004353050385294,COMPLETE
1.2,58,1.1304834161459008,139.764572738191,0.27239450695060174,COMPLETE
1.2,59,1.076653875114202,160.48247827340828,0.30218799281822584,COMPLETE
1.2,60,1.1169079938320747,118.10483655473499,0.32067030153004605,COMPLETE
1.2,61,1.0833186357221058,134.5170740055596,0.349736805073686,COMPLETE
1.2,62,1.0574850935980016,134.3504920301915,0.2589530640154436,COMPLETE
1.2,63,1.0979559598145818,126.53113442953801,0.35754953735092077,COMPLETE
1.2,64,1.0849329355008417,129.0150598880654,0.3510202592631684,COMPLETE
1.2,65,1.0881941650721263,126.08238656169617,0.35306877403131764,COMPLETE
1.2,66,1.095215621066649,116.33309834944947,0.34250564646425286,COMPLETE
1.2,67,1.2914935605461997,108.7306545776307,-1.7943924545914536,COMPLETE
1.2,68,1.0709669427406174,122.66172490705246,0.30890669990124575,COMPLETE
1.2,69,1.1088085970331747,126.55405384098948,0.34699360633632104,COMPLETE
1.2,70,1.123557797817289,150.36327323313054,0.28343630007141574,COMPLETE
1.2,71,1.08683602938269,127.96748909770156,0.35298922757558415,COMPLETE
1.2,72,1.0808058176456075,141.17348531090497,0.34216140263729766,COMPLETE
1.2,73,1.1364956826185912,108.3466290187911,0.22816918918528994,COMPLETE
1.2,74,1.0896598861486697,90.32170998497136,0.2284798170183011,COMPLETE
1.2,75,1.1015153667678284,146.79416892801012,0.34372181876625163,COMPLETE
1.2,76,1.1150279888188483,155.79093553772918,0.29902871032678746,COMPLETE
1.2,77,1.0625522679445738,135.276729117823,0.2846177652827686,COMPLETE
1.2,78,1.047555944059667,123.69008757392466,0.1884286251963685,COMPLETE
1.2,79,1.0728055852441252,114.64301807005967,0.29833322571821697,COMPLETE
1.2,80,1.1032099632550483,143.5905367263109,0.3467990688206468,COMPLETE
1.2,81,1.0874808420225206,126.54767188137012,0.3526728496786591,COMPLETE
1.2,82,1.0922626473971007,127.57169707253757,0.35751536617931734,COMPLETE
1.2,83,1.0908059718593832,127.22874228967851,0.35638147747389937,COMPLETE
1.2,84,1.0795005224118979,121.32917529425708,0.3318519740457049,COMPLETE
1.2,85,1.0955752770148497,132.8191060374134,0.3598226289131423,COMPLETE
1.2,86,1.095285605433348,133.32100444296302,0.35976855077306524,COMPLETE
1.2,87,1.1096451331317927,135.91334495896407,0.34470278053548853,COMPLETE
1.2,88,1.0959961611624396,132.32294915402608,0.3598296214864849,COMPLETE
1.2,89,1.1198759530167692,103.36078831058336,0.27376669279093324,COMPLETE
1.2,90,1.0957613724715156,132.20608953534182,0.3598443320528055,COMPLETE
1.2,91,1.0955733653641238,131.36141510138506,0.35980660204131265,COMPLETE
1.2,92,1.0944908528124724,131.7400061818869,0.3597621686446617,COMPLETE
1.2,93,1.106056282621438,131.9115863935733,0.3523443417664529,COMPLETE
1.2,94,1.0947563841326398,114.45013133061613,0.3378550977797712,COMPLETE
1.2,95,1.0671512514824955,121.08476138497888,0.2917246578842292,COMPLETE
1.2,96,1.1127303866229963,132.08560683916335,0.3399182289464342,COMPLETE
1.2,97,1.0759624963276018,110.79907169829711,0.2968311633583909,COMPLETE
1.2,98,1.1294718120034746,118.12327818136458,0.2781525397982598,COMPLETE
1.2,99,1.1033046283381738,145.6984559221531,0.34350858993310585,COMPLETE
1.2,100,1.0812450128846647,136.9087187566889,0.3455022117523354,COMPLETE
1.2,101,1.0938492605416525,131.1359850343923,0.3595687894806243,COMPLETE
1.2,102,1.0981924680758277,130.08574373218073,0.3591555231068577,COMPLETE
1.2,103,1.1078578878147727,131.3382461375046,0.3496460242472299,COMPLETE
1.2,104,1.1005129015697612,136.5192022616433,0.3566320943398482,COMPLETE
1.2,105,1.1210891003609251,118.91333289218156,0.30989326449528676,COMPLETE
1.2,106,1.0927636010958093,150.4685048017531,0.34119720069842874,COMPLETE
1.2,107,1.0985245686867122,124.49728219663854,0.355660354027032,COMPLETE
1.2,108,1.1175804810863268,132.3198355513636,0.32719422021378897,COMPLETE
1.2,109,1.0844092149298938,138.28602357858477,0.3501639509413179,COMPLETE
1.2,110,1.0704909677540382,147.06894744107495,0.3095193842429955,COMPLETE
1.2,111,1.098811034478139,136.53847691525175,0.3576963797189636,COMPLETE
1.2,112,1.1068799518684969,128.98316267496594,0.35099362682198265,COMPLETE
1.2,113,1.096190021708855,133.923900396065,0.3596058526209589,COMPLETE
1.2,114,1.0987769095968078,143.88934619631348,0.3504155394008057,COMPLETE
1.2,115,1.1134213646292817,153.92136200048859,0.30775984967581493,COMPLETE
1.2,116,1.1865325385527665,138.97037910587733,-0.15805775368668007,COMPLETE
1.2,117,1.2810490133498191,134.27025423570652,-1.5312369286846983,COMPLETE
1.2,118,1.078685069763141,124.11073246960078,0.33406361869383616,COMPLETE
1.2,119,1.0845336408722017,120.18812430916006,0.33997792709339336,COMPLETE
1.2,120,1.0972967254844743,148.93152669575673,0.34314983615546524,COMPLETE
1.2,121,1.0933223335062614,130.3271750311518,0.359243937062681,COMPLETE
1.2,122,1.2424818934724398,132.37403692208233,-0.894334411936093,COMPLETE
1.2,123,1.1041175416331965,140.16289266006814,0.3499190253050566,COMPLETE
1.2,124,1.0915269816714774,128.6016604060866,0.35772060963095154,COMPLETE
1.2,125,1.0909717716861767,136.53030260623405,0.3575838476967963,COMPLETE
1.2,126,1.0861062251459528,53.102729998147254,-0.05554077099193533,COMPLETE
1.2,127,1.1106022724191966,131.2547330189287,0.3446440134875717,COMPLETE
1.2,128,1.073032829813247,143.55003708681443,0.3211867089797371,COMPLETE
1.2,129,1.0796305961589818,121.96649051314843,0.3332031900728172,COMPLETE
1.2,130,1.0930627095880083,116.41739071425071,0.3417960225355454,COMPLETE
1.2,131,1.0889292121020058,135.9558122400009,0.35639645675942244,COMPLETE
1.2,132,1.1034092999181122,136.70830130918435,0.35378482104975184,COMPLETE
1.2,133,1.0954608364922735,128.03682322651952,0.358723949291595,COMPLETE
1.2,134,1.0960352679216219,129.58819299310426,0.3594143380531767,COMPLETE
1.2,135,1.0937464721023615,129.16961805589216,0.3589705717261582,COMPLETE
1.2,136,1.108892129878622,111.83313092284797,0.32333550353751406,COMPLETE
1.2,137,1.0829878420160568,124.63270945283145,0.3439128524921564,COMPLETE
1.2,138,1.1162713150935566,132.1430482731246,0.33096617670380635,COMPLETE
1.2,139,1.0959872191803224,141.34374291594742,0.35470058703634955,COMPLETE
1.22,0,1.100474,118.791,0.279918280518876,COMPLETE
1.22,1,1.104536101718726,135.8036190637778,0.2933137286802223,COMPLETE
1.22,2,1.0316854746417339,229.83651146560427,-0.20293198111390742,COMPLETE
1.22,3,1.0845190711351818,236.23890434188533,0.0008307151269537627,COMPLETE
1.22,4,1.084887603973198,226.95256701392825,0.02063992751160093,COMPLETE
1.22,5,1.2033802283854178,154.8418137661463,-0.3159897302888126,COMPLETE
1.22,6,1.0867598732009647,199.94196737191496,0.09834021964252315,COMPLETE
1.22,7,1.2837058691326426,92.23735473082894,-1.4482033013574203,COMPLETE
1.22,8,1.2978403902996765,233.6686363307965,-1.243666786075448,COMPLETE
1.22,9,1.2476480190178725,106.0201076962972,-0.8898351280557826,COMPLETE
1.22,10,1.2054476762369506,190.01615022436184,-0.36925567265215786,COMPLETE
1.22,11,1.1568164518305142,65.86496414923413,-0.13339076488876334,COMPLETE
1.22,12,1.2203129954774814,220.40403856806216,-0.5040357535482709,COMPLETE
1.22,13,1.1877152539708355,93.5661987380669,-0.1683997425204531,COMPLETE
1.22,14,1.2108978663833148,195.71154004108766,-0.4198879430284408,COMPLETE
1.22,15,1.139942420464023,125.48318555179532,0.21381344990099027,COMPLETE
1.22,16,1.1248772699514364,228.45287204035438,-0.0013197908882767173,COMPLETE
1.22,17,1.2602582892037661,171.512095882852,-0.9640949397142329,COMPLETE
1.22,18,1.1081787285799012,242.1271251297568,-0.0024251269965192,COMPLETE
1.22,19,1.264491915086262,249.85273914182514,-0.8804972999609362,COMPLETE
1.22,20,1.2229360505474614,162.4932404828303,-0.5316113531168565,COMPLETE
1.22,21,1.251000403381017,203.60490876882682,-0.7952345343688494,COMPLETE
1.22,22,1.0290067284205995,200.96459034638235,-0.17966400647326797,COMPLETE
1.22,23,1.1044577893355032,85.38756559879891,0.11247480388509867,COMPLETE
1.22,24,1.1483583533583477,129.64516011759594,0.17157561271403665,COMPLETE
1.22,25,1.0598912193212036,128.18007385055498,0.15365003570873004,COMPLETE
1.22,26,1.1509967464020396,128.04755712278825,0.15719869357453398,COMPLETE
1.22,27,1.1273118185228699,148.5453398458852,0.23506834065216697,COMPLETE
1.22,28,1.0572408830478242,146.59931432333116,0.13648927084477513,COMPLETE
1.22,29,1.0518629431819513,111.23778353005497,0.06196033302880988,COMPLETE
1.22,30,1.1832464152827797,143.23268009632775,-0.10326993794179673,COMPLETE
1.22,31,1.1267748215044362,112.84446041602372,0.24144212384906716,COMPLETE
1.22,32,1.1209128505072687,175.8992496748806,0.16494538629026056,COMPLETE
1.22,33,1.1709205267006695,111.10440774668828,0.009649544017964473,COMPLETE
1.22,34,1.0958470970536065,141.5275065648972,0.2840191158522076,COMPLETE
1.22,35,1.0796542273966652,54.670971546538695,-0.198526826473977,COMPLETE
1.22,36,1.0971854335809406,137.6282209403901,0.28917645345487575,COMPLETE
1.22,37,1.0907126291895566,139.05364400816086,0.2796088175686773,COMPLETE
1.22,38,1.0717205517882205,159.81123792497073,0.1890636101907761,COMPLETE
1.22,39,1.1008412097231572,96.40875006849896,0.18700670011837506,COMPLETE
1.22,40,1.0452103290070378,178.59217432480014,-0.005379928045701199,COMPLETE
1.22,41,1.0861843323363132,136.45215201609184,0.27179203134826135,COMPLETE
1.22,42,1.093946396105077,140.09149309177357,0.28350716137466314,COMPLETE
1.22,43,1.0705094668407094,119.68307799269151,0.19890607107999614,COMPLETE
1.22,44,1.1123184881450838,156.25784183528066,0.2483333686480238,COMPLETE
1.22,45,1.0985071651263025,138.76475315010114,0.2892289291781758,COMPLETE
1.22,46,1.0920784957082899,167.08197104708242,0.21804246682992634,COMPLETE
1.22,47,1.1349212073636463,150.01725523478805,0.2040920325893758,COMPLETE
1.22,48,1.0712872575527537,135.95580202637152,0.21990197794730104,COMPLETE
1.22,49,1.0395908175770863,182.50563524194098,-0.056523218368154104,COMPLETE
1.22,50,1.117632669349607,100.15222624919699,0.20739735229791112,COMPLETE
1.22,51,1.0989513323871207,120.4578062142118,0.28202085617321515,COMPLETE
1.22,52,1.096926059967258,135.05356131399682,0.2904383729038118,COMPLETE
1.22,53,1.0781661334267438,153.7194903438145,0.22603751457450638,COMPLETE
1.22,54,1.0998914565565516,138.27652967949902,0.29047998395526076,COMPLETE
1.22,55,1.1090043588390446,81.02691016275675,0.07882093526241363,COMPLETE
1.22,56,1.1383902272549566,131.46839079871853,0.2197883211996876,COMPLETE
1.22,57,1.1612624359092185,122.04869319325614,0.09149718840790744,COMPLETE
1.22,58,1.1138438612025234,166.6249761680338,0.21253104767053888,COMPLETE
1.22,59,1.0644096435528199,105.88332690202876,0.12200438290652649,COMPLETE
1.22,60,1.1014314793349707,144.48146778980598,0.2828935028682755,COMPLETE
1.22,61,1.0957068391065732,137.76857166497703,0.28763474569275527,COMPLETE
1.22,62,1.0210600696489922,133.34206269812742,-0.2022583020886537,COMPLETE
1.22,63,1.0826649152530292,153.01481861464353,0.24051042783257426,COMPLETE
1.22,64,1.0953298050837321,124.59519134167633,0.2843803059531913,COMPLETE
1.22,65,1.1274720846700643,125.31368399147301,0.25947915935298216,COMPLETE
1.22,66,1.105950557035142,114.56499290186952,0.2716807634260743,COMPLETE
1.22,67,1.0850294005459122,133.76134162967142,0.26941259212436286,COMPLETE
1.22,68,1.1185693444184606,116.66947268827535,0.2676434567407959,COMPLETE
1.22,69,1.1452798934371922,107.119857157613,0.158499740084439,COMPLETE
1.22,70,1.075068393645666,161.4299026471099,0.1973437148237389,COMPLETE
1.22,71,1.0935391714375136,143.2714321355118,0.2791170366264195,COMPLETE
1.22,72,1.1008928592283518,124.83419491677006,0.2900677541251895,COMPLETE
1.22,73,1.063957914038526,124.02906564548596,0.17265611078587373,COMPLETE
1.22,74,1.103499482318869,128.65906576973973,0.29404910018198116,COMPLETE
1.22,75,1.109177754902908,137.29486289321844,0.2902238307023408,COMPLETE
1.22,76,1.13140275961138,147.45386674511957,0.22380979792846478,COMPLETE
1.22,77,1.1079355355614338,130.81660692335115,0.2939354053523413,COMPLETE
1.22,78,1.1085822243095176,128.07202444864953,0.29297505540613056,COMPLETE
1.22,79,1.1107649514263076,129.9607663453358,0.2920735292873289,COMPLETE
1.22,80,1.1196302292534581,101.9290661780883,0.21394622052235412,COMPLETE
1.22,81,1.1087857348297765,129.61890768960149,0.2933705653272556,COMPLETE
1.22,82,1.11001867150448,130.7684362010588,0.29269633290849306,COMPLETE
1.22,83,1.12383123273221,128.4440935846821,0.27028050533191017,COMPLETE
1.22,84,1.1129567155080153,131.02878676034868,0.2899577281713306,COMPLETE
1.22,85,1.132350873112263,117.018813670275,0.23457862011146968,COMPLETE
1.22,86,1.1421851001561767,148.66449091683626,0.1751687965741322,COMPLETE
1.22,87,1.10826519466401,108.87966408275972,0.2527410618436754,COMPLETE
1.22,88,1.0841717657432952,119.03668140221895,0.2504679663740239,COMPLETE
1.22,89,1.1517561336368645,131.16974544712775,0.151336235377042,COMPLETE
1.22,90,1.0886969376742706,157.4306504488397,0.24248314743480215,COMPLETE
1.22,91,1.1058996860566732,141.57536234899803,0.2869842402615008,COMPLETE
1.22,92,1.1162424357088143,220.74975356173803,0.03110187990038593,COMPLETE
1.22,93,1.1232819191398937,135.94705773951375,0.26838599563789867,COMPLETE
1.22,94,1.1106617316606218,127.59305399683967,0.2914478784779684,COMPLETE
1.22,95,1.1039499194846534,127.57285487390584,0.2935437655606332,COMPLETE
1.22,96,1.1045634777283686,127.5317851675184,0.29357605639928064,COMPLETE
1.22,97,1.1296871319835122,128.4704888072095,0.2535676067411341,COMPLETE
1.22,98,1.137197848415467,114.94047058943204,0.21313531518185602,COMPLETE
1.22,99,1.1139470826783777,122.38516781142344,0.28378673940481214,COMPLETE
1.22,100,1.1042138898718523,120.34123643175627,0.2848293323701956,COMPLETE
1.22,101,1.1026186743107236,128.93901438614742,0.29396556862490986,COMPLETE
1.22,102,1.0904657020036344,127.71357651330948,0.2795141081142649,COMPLETE
1.22,103,1.1231990960370501,144.54690596448734,0.25574208994296743,COMPLETE
1.22,104,1.1111331069725972,132.2091239442169,0.2916128482647995,COMPLETE
1.22,105,1.0793784993783888,112.03164754305244,0.214384727319894,COMPLETE
1.22,106,1.1041079193464987,132.94499403207195,0.2945714404592126,COMPLETE
1.22,107,1.1041433680280257,141.25634532281416,0.2878706422195565,COMPLETE
