existing_ar_refractive_index,existing_ar_thickness_nm,active_refractive_index,active_extinction_coefficient,active_thickness_nm,primer_refractive_index,primer_thickness_nm,incident_power_w_m2,baseline_transmitted_power_w_m2,retrofit_transmitted_power_w_m2,additional_transmitted_power_w_m2,baseline_weighted_transmittance_percent,retrofit_weighted_transmittance_percent,absolute_gain_percentage_points,relative_gain_percent,retrofit_absorbed_power_w_m2,retrofit_weighted_absorptance_percent,passes_positive_gain_gate,passes_provisional_margin_gate,maximum_physical_violation
1.25,80.0,1.08,0.0,100.0,1.15,30.0,836.08151675,823.7195532370972,831.463694315456,7.74414107835878,98.52144040201297,99.44768275078077,0.9262423487678159,0.9401429221784817,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,100.0,1.15,50.0,836.08151675,823.7195532370972,831.5835867075646,7.864033470467348,98.52144040201297,99.46202254776308,0.9405821457501259,0.9546979235302656,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,100.0,1.15,75.0,836.08151675,823.7195532370972,831.0835381040506,7.363984866953388,98.52144040201297,99.4022139533263,0.880773551313337,0.8939917521702629,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,100.0,1.2,30.0,836.08151675,823.7195532370972,832.087639392542,8.368086155444757,98.52144040201297,99.5223100526151,1.0008696506021353,1.0158901925490786,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,100.0,1.2,50.0,836.08151675,823.7195532370972,832.0394354991336,8.319882262036344,98.52144040201297,99.51654459883544,0.9951041968224857,1.0100382137756019,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,100.0,1.2,75.0,836.08151675,823.7195532370972,830.949527364161,7.22997412706377,98.52144040201297,99.38618552341786,0.8647451214049063,0.8777227757494683,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,100.0,1.25,30.0,836.08151675,823.7195532370972,832.2798204754765,8.56026723837931,98.52144040201297,99.54529597911682,1.0238555771038471,1.03922108012839,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,100.0,1.25,50.0,836.08151675,823.7195532370972,831.4062859442444,7.686732707147144,98.52144040201297,99.44081639025711,0.9193759882441682,0.9331735148133136,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,100.0,1.25,75.0,836.08151675,823.7195532370972,828.9210857168069,5.201532479709726,98.52144040201297,99.14357261944662,0.6221322174336569,0.6314688608845651,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,110.0,1.15,30.0,836.08151675,823.7195532370972,831.3595017734988,7.639948536401562,98.52144040201297,99.43522074320498,0.9137803411920196,0.9274938911402167,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,110.0,1.15,50.0,836.08151675,823.7195532370972,831.4499095784687,7.7303563413714755,98.52144040201297,99.44603401956125,0.9245936175482946,0.9384694476405601,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,110.0,1.15,75.0,836.08151675,823.7195532370972,830.9739764122935,7.25442317519628,98.52144040201297,99.38910976556923,0.8676693635562636,0.8806909034376396,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,110.0,1.2,30.0,836.08151675,823.7195532370972,832.1306210711089,8.411067834011646,98.52144040201297,99.5274509004518,1.006010498438835,1.0211081916117424,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,110.0,1.2,50.0,836.08151675,823.7195532370972,832.1182418485195,8.398688611422244,98.52144040201297,99.52597027657225,1.0045298745592972,1.0196053472831412,0.0,0.0,True,True,0.0
1.25,80.0,1.08,0.0,110.0,1.2,75.0,836.08151675,823.7195532370972,831.079841772309,7.360288535211794,98.52144040201297,99.40177185148963,0.880331449476669,0.8935430154944043,0.0,0.0,True,True,0.0
