case_id,existing_ar_refractive_index,existing_ar_thickness_nm,active_refractive_index,active_extinction_coefficient,active_thickness_nm,primer_refractive_index,primer_thickness_nm,proxy_id,proxy_label,proxy_group,baseline_normalized_response_integral,retrofit_normalized_response_integral,relative_photocurrent_proxy_gain_percent,passes_positive_gain_gate,passes_provisional_margin_gate,is_nominal_optical_case,maximum_tmm_physical_violation
1,1.25,80.0,1.08,0.0,100.0,1.15,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.956594318417,1.1445059008475895,True,True,False,0.0
1,1.25,80.0,1.08,0.0,100.0,1.15,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.284444271023,1.1447649590303326,True,True,False,0.0
1,1.25,80.0,1.08,0.0,100.0,1.15,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.9138655093582,1.1420348335466246,True,True,False,0.0
2,1.25,80.0,1.08,0.0,100.0,1.15,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.1677322873526,1.1817782627623645,True,True,False,0.0
2,1.25,80.0,1.08,0.0,100.0,1.15,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.4961465796066,1.1823781073579616,True,True,False,0.0
2,1.25,80.0,1.08,0.0,100.0,1.15,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.1236304101452,1.179392697460071,True,True,False,0.0
3,1.25,80.0,1.08,0.0,100.0,1.15,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.8680111623889,1.1288682423644736,True,True,False,0.0
3,1.25,80.0,1.08,0.0,100.0,1.15,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.2002677867002,1.1298093233940905,True,True,False,0.0
3,1.25,80.0,1.08,0.0,100.0,1.15,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.8295587654136,1.1270203108335757,True,True,False,0.0
4,1.25,80.0,1.08,0.0,100.0,1.2,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.526739365358,1.2451540819428102,True,True,False,0.0
4,1.25,80.0,1.08,0.0,100.0,1.2,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.8490365375388,1.2450760647861912,True,True,False,0.0
4,1.25,80.0,1.08,0.0,100.0,1.2,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.4733725657254,1.2416796663663963,True,True,False,0.0
5,1.25,80.0,1.08,0.0,100.0,1.2,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.7601843426786,1.2863643186697513,True,True,False,0.0
5,1.25,80.0,1.08,0.0,100.0,1.2,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.0820019358963,1.2864670261897224,True,True,False,0.0
5,1.25,80.0,1.08,0.0,100.0,1.2,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.7020199751072,1.2824003911959454,True,True,False,0.0
6,1.25,80.0,1.08,0.0,100.0,1.2,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.1700978171893,1.1821958517192,True,True,False,0.0
6,1.25,80.0,1.08,0.0,100.0,1.2,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.4983117379908,1.1827627910395027,True,True,False,0.0
6,1.25,80.0,1.08,0.0,100.0,1.2,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.1207233498396,1.1788749675496981,True,True,False,0.0
7,1.25,80.0,1.08,0.0,100.0,1.25,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.8516960585541,1.3025189582675025,True,True,False,0.0
7,1.25,80.0,1.08,0.0,100.0,1.25,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.1696276391149,1.302035484533533,True,True,False,0.0
7,1.25,80.0,1.08,0.0,100.0,1.25,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.7884947906228,1.2978010343819761,True,True,False,0.0
8,1.25,80.0,1.08,0.0,100.0,1.25,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.7023124415966,1.2761481436601219,True,True,False,0.0
8,1.25,80.0,1.08,0.0,100.0,1.25,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,570.0212909455965,1.2756805047836057,True,True,False,0.0
8,1.25,80.0,1.08,0.0,100.0,1.25,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.6339365421628,1.270275142342809,True,True,False,0.0
9,1.25,80.0,1.08,0.0,100.0,1.25,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.2614710943516,1.02179521781244,True,True,False,0.0
9,1.25,80.0,1.08,0.0,100.0,1.25,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,568.5939199129454,1.022079499065449,True,True,False,0.0
9,1.25,80.0,1.08,0.0,100.0,1.25,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.2119588900478,1.017029497259371,True,True,False,0.0
10,1.25,80.0,1.08,0.0,110.0,1.15,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.8832036418902,1.1315501834535553,True,True,False,0.0
10,1.25,80.0,1.08,0.0,110.0,1.15,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.2127971712665,1.1320354191003594,True,True,False,0.0
10,1.25,80.0,1.08,0.0,110.0,1.15,30.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.8425583727823,1.1293354625161733,True,True,False,0.0
11,1.25,80.0,1.08,0.0,110.0,1.15,50.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.0449569759425,1.1601046345459514,True,True,False,0.0
11,1.25,80.0,1.08,0.0,110.0,1.15,50.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.3743049803038,1.1607305108923767,True,True,False,0.0
11,1.25,80.0,1.08,0.0,110.0,1.15,50.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,568.0019657317536,1.1577249518964647,True,True,False,0.0
12,1.25,80.0,1.08,0.0,110.0,1.15,75.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,572.7406550617802,1.1063859636067759,True,True,False,0.0
12,1.25,80.0,1.08,0.0,110.0,1.15,75.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.0723969531754,1.1070905129081487,True,True,False,0.0
12,1.25,80.0,1.08,0.0,110.0,1.15,75.0,mission_300_mono,Mission Solar MSE300SQ5T,Mission_300_mono,561.501324789437,567.7021112622128,1.1043226790428495,True,True,False,0.0
13,1.25,80.0,1.08,0.0,110.0,1.2,30.0,itek_360_mono,Itek Energy IT-360-SE72,Itek_360_mono,566.4732742676987,573.5396108046162,1.2474262878601783,True,True,False,0.0
13,1.25,80.0,1.08,0.0,110.0,1.2,30.0,qcells_300_mono,QCells Q.PEAK-G4.1 300,Qcells_300_mono,562.8412350373419,569.8628353024083,1.2475276912858924,True,True,False,0.0
