primer_refractive_index,primer_thickness_nm,transmitted_power_w_m2,weighted_transmittance_percent,additional_power_vs_baseline_w_m2,relative_gain_vs_baseline_percent,passes_positive_gain_gate,passes_provisional_margin_gate,maximum_energy_residual
1.05,0.0,833.3472783989381,99.67296988436122,5.902052856872842,0.7132862302766162,True,True,9.992007221626409e-16
1.05,5.0,833.3075552351779,99.66821877302048,5.862329693112656,0.7084855301778075,True,True,9.992007221626409e-16
1.05,10.0,833.2020582059239,99.65560074150794,5.756832663858631,0.6957358005283418,True,True,8.881784197001252e-16
1.05,20.0,832.802917394318,99.60786128027009,5.357691852252742,0.6474980683758106,True,True,8.881784197001252e-16
1.05,30.0,832.1788448253286,99.53321872969494,4.7336192832633515,0.5720764513641763,True,True,1.1102230246251565e-15
1.05,50.0,830.4397249903393,99.32521032379817,2.9944994482740412,0.3618970000476253,True,True,9.992007221626409e-16
1.05,75.0,827.9279522175485,99.02478832875701,0.48272667548326353,0.05833941155041723,True,False,1.2212453270876722e-15
1.05,100.0,825.8057037894899,98.77095561202525,-1.6395217525753196,-0.19814263252304795,False,False,1.1102230246251565e-15
1.05,150.0,824.1908545603446,98.57781066182679,-3.2543709817206263,-0.39330349384621377,False,False,1.1102230246251565e-15
1.1,0.0,833.3472783989381,99.67296988436122,5.902052856872842,0.7132862302766162,True,True,9.992007221626409e-16
1.1,5.0,833.3627612131389,99.67482171506082,5.917535671073665,0.7151573890824067,True,True,1.1102230246251565e-15
1.1,10.0,833.3419475197559,99.67233228155871,5.896721977690618,0.7126419726245484,True,True,9.992007221626409e-16
1.1,20.0,833.1987135736844,99.65520070488802,5.753488031619099,0.6953315886075659,True,True,1.1102230246251565e-15
1.1,30.0,832.9375843615526,99.62396819861914,5.492358819487322,0.6637730994083915,True,True,9.992007221626409e-16
1.1,50.0,832.1715541748364,99.53234672734276,4.7263286327711285,0.5711953476648411,True,True,8.881784197001252e-16
1.1,75.0,831.0608875657989,99.39950482296067,3.6156620237336483,0.43696693293081756,True,True,9.992007221626409e-16
1.1,100.0,830.1084612910252,99.28558934274815,2.6632357489598917,0.3218624830683127,True,True,1.2212453270876722e-15
1.1,150.0,829.0149677227382,99.15480142956267,1.5697421806729608,0.18970949764615677,True,True,9.992007221626409e-16
1.15,0.0,833.3472783989381,99.67296988436122,5.902052856872842,0.7132862302766162,True,True,9.992007221626409e-16
1.15,5.0,833.4096922438637,99.68043492738337,5.964466701798415,0.7208291881666307,True,True,1.1102230246251565e-15
1.15,10.0,833.4451992501891,99.6846817628431,5.999973708123889,0.7251203491074909,True,True,1.1102230246251565e-15
1.15,20.0,833.4435200494008,99.68448092108846,5.998294507335572,0.7249174111079131,True,True,9.992007221626409e-16
1.15,30.0,833.361392671969,99.67465802992457,5.9161671299037835,0.7149919955158434,True,True,8.881784197001252e-16
1.15,50.0,833.0421594069156,99.6364759557299,5.596933864850371,0.6764114036894442,True,True,8.881784197001252e-16
1.15,75.0,832.5363598702439,99.57597951769861,5.0911343281786685,0.6152835463934704,True,True,9.992007221626409e-16
1.15,100.0,832.0229634455017,99.51457444959738,4.5777379034364,0.5532375753860314,True,True,8.881784197001252e-16
1.15,150.0,830.8129988051296,99.36985594833503,3.3677732630643504,0.40700860420798224,True,True,9.992007221626409e-16
1.2,0.0,833.3472783989381,99.67296988436122,5.902052856872842,0.7132862302766162,True,True,9.992007221626409e-16
1.2,5.0,833.4468769374166,99.68488242356743,6.0016513953513595,0.7253231041873056,True,True,9.992007221626409e-16
1.2,10.0,833.5060226053145,99.69195657443824,6.060797063249197,0.732471090068678,True,True,1.2212453270876722e-15
1.2,20.0,833.5155047591352,99.69309069277845,6.070279217069924,0.7336170455383607,True,True,9.992007221626409e-16
1.2,30.0,833.4056561869331,99.67995219252444,5.96043064486787,0.7203414148608024,True,True,9.992007221626409e-16
1.2,50.0,832.9620348635659,99.62689261466274,5.516809321500659,0.6667280384495008,True,True,9.992007221626409e-16
1.2,75.0,832.268247842117,99.54391182779571,4.823022300051775,0.5828811565009852,True,True,9.992007221626409e-16
1.2,100.0,831.583889656591,99.46205878215177,4.138664114525795,0.5001737863451357,True,True,9.992007221626409e-16
1.2,150.0,830.054318516293,99.27911356572793,2.609092974227792,0.31531911644285054,True,True,9.992007221626409e-16
1.25,0.0,833.3472783989381,99.67296988436122,5.902052856872842,0.7132862302766162,True,True,9.992007221626409e-16
1.25,5.0,833.4727816143513,99.68798076702026,6.027556072286075,0.7284537859696247,True,True,1.1102230246251565e-15
1.25,10.0,833.5184135239717,99.69343859723253,6.073187981906472,0.7339685811744074,True,True,1.1102230246251565e-15
1.25,20.0,833.3924910290875,99.67837756641659,5.947265487022264,0.718750353913296,True,True,8.881784197001252e-16
1.25,30.0,833.0266062911153,99.63461571656796,5.581380749050027,0.6745317486596921,True,True,9.992007221626409e-16
1.25,50.0,831.8541545048091,99.49438396131237,4.4089289627438575,0.5328363529870557,True,True,1.1102230246251565e-15
1.25,75.0,830.2178429899475,99.29867200236102,2.772617447882226,0.3350816902793613,True,True,9.992007221626409e-16
1.25,100.0,828.9088916300145,99.1421141388382,1.4636660879492638,0.176889785905817,True,True,9.992007221626409e-16
1.25,150.0,827.2313914875463,98.94147579091859,-0.21383405451899762,-0.02584268395275511,False,False,8.881784197001252e-16
1.3,0.0,833.3472783989381,99.67296988436122,5.902052856872842,0.7132862302766162,True,True,9.992007221626409e-16
1.3,5.0,833.4858111647025,99.68953917371748,6.040585622637195,0.7300284582196924,True,True,1.3322676295501878e-15
1.3,10.0,833.4761672524825,99.68838570817293,6.03094171041721,0.728862953613189,True,True,9.992007221626409e-16
1.3,20.0,833.0521274456106,99.63766818860377,5.606901903545349,0.677616080251382,True,True,1.1102230246251565e-15
1.3,30.0,832.1820010316962,99.53359622953252,4.736775489630986,0.5724578912794972,True,True,9.992007221626409e-16
1.3,50.0,829.6564650551786,99.23152807876954,2.2112395131133553,0.2672369656450379,True,True,9.992007221626409e-16
1.3,75.0,826.3942069369127,98.84134386193064,-1.0510186051525352,-0.12701971957890087,False,False,1.1102230246251565e-15
1.3,100.0,824.1844732854669,98.57704742585638,-3.26075225659838,-0.39407469593679,False,False,8.881784197001252e-16
1.3,150.0,822.8170765204201,98.41349916678685,-4.628149021645186,-0.5593299566884626,False,False,1.1102230246251565e-15
1.35,0.0,833.3472783989381,99.67296988436122,5.902052856872842,0.7132862302766162,True,True,9.992007221626409e-16
1.35,5.0,833.4843100364953,99.68935963043407,6.039084494430085,0.7298470409897934,True,True,9.992007221626409e-16
1.35,10.0,833.3728927310852,99.67603350096249,5.927667189019985,0.7163818227528871,True,True,8.881784197001252e-16
1.35,20.0,832.472075325544,99.56829072857794,5.026849783478724,0.6075145071005272,True,True,1.1102230246251565e-15
1.35,30.0,830.8318315304396,99.37210844703672,3.386605988374299,0.409284612906638,True,True,1.2212453270876722e-15
1.35,50.0,826.3238702517684,98.83293120314855,-1.1213552902968331,-0.13552018377557562,False,False,9.992007221626409e-16
1.35,75.0,820.8517721373609,98.17843783081823,-6.593453404704405,-0.7968446975308834,False,False,1.1102230246251565e-15
1.35,100.0,817.6491277786283,97.79538375121344,-9.796097763436933,-1.1838968261638636,False,False,9.992007221626409e-16
1.35,150.0,817.2346069016428,97.74580474860652,-10.210618640422467,-1.2339932995242577,False,False,8.881784197001252e-16
1.4,0.0,833.3472783989381,99.67296988436122,5.902052856872842,0.7132862302766162,True,True,9.992007221626409e-16
1.4,5.0,833.4665633639773,99.68723702968731,6.021337821912084,0.7277022860295632,True,True,9.992007221626409e-16
1.4,10.0,833.2020288784701,99.65559723378134,5.756803336404801,0.6957322561905506,True,True,9.992007221626409e-16
1.4,20.0,831.6302120323254,99.46759919595189,4.184986490260144,0.5057720270871742,True,True,1.1102230246251565e-15
1.4,30.0,828.9390320011095,99.1457190948731,1.4938064590442082,0.1805323679359688,True,True,8.881784197001252e-16
1.4,50.0,821.8295825782288,98.29538939849179,-5.615642963836422,-0.678672471662106,False,False,7.771561172376096e-16
1.4,75.0,813.6856675542499,97.32133186213628,-13.759557987815356,-1.6628965353931884,False,False,8.881784197001252e-16
1.4,100.0,809.5757813984887,96.82976661719017,-17.869444143576516,-2.1595923925804414,False,False,9.992007221626409e-16
1.4,150.0,810.8398348212942,96.9809544376935,-16.605390720771084,-2.0068265799579392,False,False,8.881784197001252e-16
